Mass Wall,Metal Wall,Roof,SlabEdge,Glass,Infil,LPD,EPD (0 1st$),MWh,kWh $,kW $,Util $,Addl 1st $,40yr LCS,40yr LCS 2%,LEED
E12,E30,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,589.315,21380,25820,47847,5985,87572.179,154376.5642,7
E10,E31,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,596.29,21630,26328,48606,5469,88185.6465,150176.6153,6
E11,E31,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,592.389,21490,26043,48181,-9976,94275.3965,158961.6248,6
E12,E31,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,591.355,21453,26011,48112,-7761,96140.4315,161264.2431,6
E10,E32,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,595.128,21588,26207,48442,-8278,89477.6705,152508.6924,6
E11,E32,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,591.565,21460,25973,48084,-8063,94258.2405,159559.6221,6
E12,E32,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,590.007,21405,25885,47938,-5848,97627.8555,163855.138,6
E10,E30,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,584.685,21215,25220,47084,-6365,96856.166,168499.3347,7
E11,E30,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,580.54,21066,24903,46618,11094,103747.056,178345.4975,8
E12,E30,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,579.436,21027,24819,46497,13308,106628.171,181993.9687,8
E10,E31,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,586.678,21286,25421,47356,12792,105287.6385,175205.8411,7
E11,E31,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,582.269,21128,25095,46872,-2653,112530.2485,185517.8761,7
E12,E31,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,581.199,21090,25009,46746,-438,115509.0635,189295.7563,7
E10,E32,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,585.698,21251,25295,47194,-955,106540.5825,177486.1546,7
E11,E32,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,581.149,21088,24966,46704,-740,113900.4325,187953.4803,8
E12,E32,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,580.055,21049,24880,46578,1475,116879.2475,191731.3605,8
E10,E30,R-25,"2"" Vert",SB60,0.15,0.5,1,602.659,21860,26512,49020,958,77443.404,136808.8729,6
E11,E30,R-25,"2"" Vert",SB60,0.15,0.5,1,598.352,21706,26227,48581,-7323,83806.714,145956.2274,6
E12,E30,R-25,"2"" Vert",SB60,0.15,0.5,1,597.224,21666,26152,48466,-5108,86570.589,149449.408,6
E10,E31,R-25,"2"" Vert",SB60,0.15,0.5,1,604.413,21923,26684,49255,-5625,86597.8565,144473.0055,5
E11,E31,R-25,"2"" Vert",SB60,0.15,0.5,1,600.19,21771,26403,48823,-21069,92824.3865,153439.1875,6
E12,E31,R-25,"2"" Vert",SB60,0.15,0.5,1,599.037,21730,26326,48706,-18855,95627.3415,156984.1316,6
E10,E32,R-25,"2"" Vert",SB60,0.15,0.5,1,603.297,21883,26573,49104,-19371,87635.8605,146468.6193,5
E11,E32,R-25,"2"" Vert",SB60,0.15,0.5,1,598.929,21726,26275,48652,-19157,94253.1905,155952.4371,6
E12,E32,R-25,"2"" Vert",SB60,0.15,0.5,1,597.763,21685,26202,48534,-16942,97075.6855,159523.2629,6
E10,E30,R-30,"2"" Vert",SB60,0.15,0.5,1,592.913,21512,25624,47784,-17459,94271.836,161475.7538,7
E11,E30,R-30,"2"" Vert",SB60,0.15,0.5,1,588.574,21357,25284,47289,0,101729.386,172072.4884,7
E12,E30,R-30,"2"" Vert",SB60,0.15,0.5,1,587.507,21318,25211,47178,2215,104415.101,175462.1417,7
E10,E31,R-30,"2"" Vert",SB60,0.15,0.5,1,594.513,21569,25765,47983,1698,104129.7285,170071.6306,6
E11,E31,R-30,"2"" Vert",SB60,0.15,0.5,1,590.423,21423,25483,47554,-13746,110297.6385,178960.1673,7
E12,E31,R-30,"2"" Vert",SB60,0.15,0.5,1,589.181,21378,25395,47421,-11532,113413.2335,182919.22,7
E10,E32,R-30,"2"" Vert",SB60,0.15,0.5,1,593.588,21536,25689,47872,-12048,104386.1325,171031.973,7
E11,E32,R-30,"2"" Vert",SB60,0.15,0.5,1,589.197,21379,25353,47379,-11834,111804.6025,181576.944,7
E12,E32,R-30,"2"" Vert",SB60,0.15,0.5,1,588.073,21339,25269,47257,-9619,114705.2575,185251.2971,7
E10,E30,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,594.651,21576,25991,48213,-10136,91121.109,155604.4001,6
E11,E30,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,590.665,21433,25751,47831,-5232,96370.639,163276.4928,7
E12,E30,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,589.289,21384,25655,47688,-3017,99681.634,167494.3633,7
E10,E31,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,596.447,21640,26168,48456,-3534,100119.2415,163061.4783,6
E11,E31,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,592.072,21484,25873,48005,-18978,106717.0315,172519.4143,6
E12,E31,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,591.175,21452,25837,47938,-16764,108542.9865,174770.269,6
E10,E32,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,595.236,21597,26045,48290,-17280,101450.3455,165445.319,6
E11,E32,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,591.204,21453,25799,47901,-17066,106836.6555,173298.5842,7
E12,E32,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,589.947,21408,25722,47778,-14851,109756.8505,176998.819,7
E10,E30,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,585.299,21242,25061,46953,-15368,108418.501,180892.4438,7
E11,E30,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,581.007,21089,24731,46468,2091,115680.651,191230.3606,8
E12,E30,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,579.885,21049,24653,46349,4306,118522.686,194827.0682,8
E10,E31,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,586.774,21295,25242,47185,3789,117631.5735,188634.2217,7
E11,E31,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,582.615,21146,24926,46717,-11655,124561.5435,198532.1481,8
E12,E31,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,581.507,21106,24839,46592,-9441,127520.8185,202284.1465,8
E10,E32,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,585.799,21260,25117,47027,-9957,118806.3575,190811.0081,7
E11,E32,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,581.556,21108,24797,46553,-9743,125853.5675,200864.2252,8
E12,E32,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,580.424,21068,24708,46424,-7528,128891.0025,204719.7507,8
E10,E30,R-25,"2"" Vert",SB70,0.2,0.5,1,612.024,22190,27389,50229,-8045,44816.949,96515.19733,5
E11,E30,R-25,"2"" Vert",SB70,0.2,0.5,1,608.571,22066,27175,49889,1680,49245.799,103100.2549,5
E12,E30,R-25,"2"" Vert",SB70,0.2,0.5,1,607.506,22028,27106,49781,3894,51872.894,106412.2629,5
E10,E31,R-25,"2"" Vert",SB70,0.2,0.5,1,613.679,22249,27531,50426,3378,54713.9215,105162.8378,4
E11,E31,R-25,"2"" Vert",SB70,0.2,0.5,1,610.14,22122,27317,50088,-12067,59103.6915,111696.1318,5
E12,E31,R-25,"2"" Vert",SB70,0.2,0.5,1,609.182,22088,27263,49997,-9852,61398.6065,114568.1494,5
E10,E32,R-25,"2"" Vert",SB70,0.2,0.5,1,612.617,22211,27431,50291,-10369,55439.2855,106744.343,4
E11,E32,R-25,"2"" Vert",SB70,0.2,0.5,1,609.112,22086,27217,49952,-10154,59848.5955,113303.5189,5
E12,E32,R-25,"2"" Vert",SB70,0.2,0.5,1,608.144,22051,27160,49860,-7939,62163.0505,116201.4183,5
E10,E30,R-30,"2"" Vert",SB70,0.2,0.5,1,602.462,21848,26538,49034,-8456,60844.241,120120.9249,6
E11,E30,R-30,"2"" Vert",SB70,0.2,0.5,1,598.15,21693,26241,48583,9003,67442.031,129578.8609,6
E12,E30,R-30,"2"" Vert",SB70,0.2,0.5,1,597.103,21656,26175,48479,11217,69990.966,132787.3417,6
E10,E31,R-30,"2"" Vert",SB70,0.2,0.5,1,604.318,21914,26706,49268,10701,70018.2335,127810.9392,5
E11,E31,R-30,"2"" Vert",SB70,0.2,0.5,1,600.041,21761,26420,48827,-4744,76420.6235,137010.0573,6
E12,E31,R-30,"2"" Vert",SB70,0.2,0.5,1,598.934,21721,26343,48711,-2529,79204.0385,140529.1196,6
E10,E32,R-30,"2"" Vert",SB70,0.2,0.5,1,603.085,21870,26591,49107,-3046,71251.6375,130065.3709,5
E11,E32,R-30,"2"" Vert",SB70,0.2,0.5,1,598.788,21716,26296,48660,-2831,77771.2675,139419.7798,6
E12,E32,R-30,"2"" Vert",SB70,0.2,0.5,1,597.653,21675,26221,48545,-616,80535.1425,142912.9603,6
E10,E30,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,603.803,21898,26946,49491,-1133,57146.394,113524.8812,5
E11,E30,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,599.686,21751,26657,49056,3771,63431.544,122568.7086,6
E12,E30,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,598.577,21711,26581,48939,5985,66234.499,126113.6527,6
E10,E31,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,605.665,21964,27122,49734,5469,66144.5265,120981.9594,5
E11,E31,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,601.498,21815,26835,49299,-9976,72429.6765,130025.7868,5
E12,E31,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,600.429,21777,26763,49187,-7761,75134.9315,133441.322,5
E10,E32,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,604.491,21923,27006,49579,-8278,67260.6905,123081.1004,5
E11,E32,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,600.318,21773,26716,49138,-8063,73663.0805,132280.2185,5
E12,E32,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,599.199,21733,26636,49017,-5848,76544.1955,135928.6898,6
E10,E30,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,593.741,21538,26015,48201,-6365,75029.986,139589.3785,6
E11,E30,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,589.801,21397,25777,47823,11094,80201.356,147157.9441,7
E12,E30,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,588.68,21357,25692,47697,13308,83180.171,150935.8242,7
E10,E31,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,595.52,21601,26187,48437,12792,84164.8985,147227.6293,6
E11,E31,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,591.694,21464,25919,48032,-2653,89863.8485,155495.0031,6
E12,E31,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,590.54,21423,25877,47948,-438,92021.9835,158185.8482,6
E10,E32,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,594.305,21558,26071,48275,-955,85417.8425,149507.9428,6
E11,E32,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,590.436,21420,25839,47907,-740,90393.8125,156817.6904,6
E12,E32,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,589.294,21379,25753,47780,1475,93392.1675,160621.4524,7
E10,E30,R-25,"2"" Vert",SB60,0.2,0.5,1,611.329,22169,27239,50058,958,57160.884,109943.5779,5
E11,E30,R-25,"2"" Vert",SB60,0.2,0.5,1,607.661,22038,27023,49708,-7323,61785.134,116787.4534,5
E12,E30,R-25,"2"" Vert",SB60,0.2,0.5,1,606.577,22000,26946,49595,-5108,64509.929,120228.8703,5
E10,E31,R-25,"2"" Vert",SB60,0.2,0.5,1,612.873,22224,27379,50252,-5625,67116.4765,118668.8637,4
E11,E31,R-25,"2"" Vert",SB60,0.2,0.5,1,609.287,22096,27165,49909,-21069,71603.9465,125331.5667,5
E12,E31,R-25,"2"" Vert",SB60,0.2,0.5,1,608.307,22061,27106,49816,-18855,73937.9415,128255.3479,5
E10,E32,R-25,"2"" Vert",SB60,0.2,0.5,1,611.81,22186,27282,50116,-19371,67861.3805,120276.2508,5
E11,E32,R-25,"2"" Vert",SB60,0.2,0.5,1,608.202,22058,27065,49770,-19157,72407.4705,127016.5991,5
E12,E32,R-25,"2"" Vert",SB60,0.2,0.5,1,607.187,22021,27005,49674,-16942,74800.0855,130018.0257,5
E10,E30,R-30,"2"" Vert",SB60,0.2,0.5,1,601.987,21836,26378,48862,-17459,73207.716,133575.1873,6
E11,E30,R-30,"2"" Vert",SB60,0.2,0.5,1,597.781,21685,26088,48421,0,79610.106,142774.3054,6
E12,E30,R-30,"2"" Vert",SB60,0.2,0.5,1,596.638,21644,26018,48312,2215,82256.741,146112.1952,6
E10,E31,R-30,"2"" Vert",SB60,0.2,0.5,1,603.719,21897,26543,49089,1698,82518.4885,141446.3741,5
E11,E31,R-30,"2"" Vert",SB60,0.2,0.5,1,599.584,21750,26263,48660,-13746,88686.3985,150334.9108,6
E12,E31,R-30,"2"" Vert",SB60,0.2,0.5,1,598.433,21708,26190,48544,-11532,91469.8135,153853.9731,6
E10,E32,R-30,"2"" Vert",SB60,0.2,0.5,1,602.593,21857,26432,48938,-12048,83556.4925,143441.988,6
E11,E32,R-30,"2"" Vert",SB60,0.2,0.5,1,598.349,21706,26142,48493,-11834,90037.0425,152744.6332,6
E12,E32,R-30,"2"" Vert",SB60,0.2,0.5,1,597.228,21665,26065,48380,-9619,92761.8375,156186.0502,6
E10,E30,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,603.745,21901,26781,49330,-10136,69294.929,126694.4439,5
E11,E30,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,599.486,21748,26490,48886,-5232,75755.939,135971.2074,6
E12,E30,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,598.294,21706,26414,48766,-3017,78617.514,139593.7968,6
E10,E31,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,605.547,21965,26959,49573,-3534,78293.0615,134151.5222,5
E11,E31,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,601.296,21813,26667,49130,-18978,84734.5315,143402.4038,5
E12,E31,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,600.171,21773,26594,49014,-16764,87517.9465,146921.4661,6
E10,E32,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,604.372,21923,26839,49410,-17280,79565.5455,136457.7175,5
E11,E32,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,600.107,21771,26548,48966,-17066,86026.5555,145734.4809,6
E12,E32,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,598.941,21729,26467,48842,-14851,88966.2905,149460.5975,6
E10,E30,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,593.871,21548,25846,48043,-15368,87119.901,152681.2959,6
E11,E30,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,590.306,21420,25620,47687,2091,91861.391,159680.4621,7
E12,E30,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,588.798,21366,25522,47538,4306,95289.626,164053.6234,7
E10,E31,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,595.625,21611,26024,48282,3789,96196.1935,160241.9013,6
E11,E31,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,591.578,21466,25749,47862,-11655,102188.2435,168897.5019,7
