Mass Wall,Metal Wall,Roof,SlabEdge,Glass,Infil,LPD,EPD (0 1st$),EUI,Util $,Addl 1st $,40yr LCS,LEED
E10,E31,R-30,"2"" Vert",SB60,0.15,0.5,1,77.56,47983,1698,104129.7285,6
E11,E31,R-30,"2"" Vert",SB60,0.15,0.5,1,77.03,47554,-13746,110297.6385,7
E12,E31,R-30,"2"" Vert",SB60,0.15,0.5,1,76.86,47421,-11532,113413.2335,7
E10,E32,R-30,"2"" Vert",SB60,0.15,0.5,1,77.44,47872,-12048,104386.1325,7
E11,E32,R-30,"2"" Vert",SB60,0.15,0.5,1,76.87,47379,-11834,111804.6025,7
E12,E32,R-30,"2"" Vert",SB60,0.15,0.5,1,76.72,47257,-9619,114705.2575,7
E10,E30,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,77.58,48213,-10136,91121.109,6
E11,E30,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,77.06,47831,-5232,96370.639,7
E12,E30,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,76.88,47688,-3017,99681.634,7
E10,E31,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,77.81,48456,-3534,100119.2415,6
E11,E31,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,77.24,48005,-18978,106717.0315,6
E12,E31,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,77.12,47938,-16764,108542.9865,6
E10,E32,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,77.65,48290,-17280,101450.3455,6
E11,E32,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,77.13,47901,-17066,106836.6555,7
E12,E32,R-25,"2"" Vert+Horiz",SB60,0.15,0.5,1,76.96,47778,-14851,109756.8505,7
E10,E30,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,76.36,46953,-15368,108418.501,7
E11,E30,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,75.80,46468,2091,115680.651,8
E12,E30,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,75.65,46349,4306,118522.686,8
E10,E31,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,76.55,47185,3789,117631.5735,7
E11,E31,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,76.01,46717,-11655,124561.5435,8
E12,E31,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,75.86,46592,-9441,127520.8185,8
E10,E32,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,76.42,47027,-9957,118806.3575,7
E11,E32,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,75.87,46553,-9743,125853.5675,8
E12,E32,R-30,"2"" Vert+Horiz",SB60,0.15,0.5,1,75.72,46424,-7528,128891.0025,8
E10,E30,R-25,"2"" Vert",SB70,0.2,0.5,1,79.84,50229,-8045,44816.949,5
E11,E30,R-25,"2"" Vert",SB70,0.2,0.5,1,79.39,49889,1680,49245.799,5
E12,E30,R-25,"2"" Vert",SB70,0.2,0.5,1,79.25,49781,3894,51872.894,5
E10,E31,R-25,"2"" Vert",SB70,0.2,0.5,1,80.06,50426,3378,54713.9215,4
E11,E31,R-25,"2"" Vert",SB70,0.2,0.5,1,79.60,50088,-12067,59103.6915,5
E12,E31,R-25,"2"" Vert",SB70,0.2,0.5,1,79.47,49997,-9852,61398.6065,5
E10,E32,R-25,"2"" Vert",SB70,0.2,0.5,1,79.92,50291,-10369,55439.2855,4
E11,E32,R-25,"2"" Vert",SB70,0.2,0.5,1,79.46,49952,-10154,59848.5955,5
E12,E32,R-25,"2"" Vert",SB70,0.2,0.5,1,79.34,49860,-7939,62163.0505,5
E10,E30,R-30,"2"" Vert",SB70,0.2,0.5,1,78.60,49034,-8456,60844.241,6
E11,E30,R-30,"2"" Vert",SB70,0.2,0.5,1,78.03,48583,9003,67442.031,6
E12,E30,R-30,"2"" Vert",SB70,0.2,0.5,1,77.90,48479,11217,69990.966,6
E10,E31,R-30,"2"" Vert",SB70,0.2,0.5,1,78.84,49268,10701,70018.2335,5
E11,E31,R-30,"2"" Vert",SB70,0.2,0.5,1,78.28,48827,-4744,76420.6235,6
E12,E31,R-30,"2"" Vert",SB70,0.2,0.5,1,78.14,48711,-2529,79204.0385,6
E10,E32,R-30,"2"" Vert",SB70,0.2,0.5,1,78.68,49107,-3046,71251.6375,5
E11,E32,R-30,"2"" Vert",SB70,0.2,0.5,1,78.12,48660,-2831,77771.2675,6
E12,E32,R-30,"2"" Vert",SB70,0.2,0.5,1,77.97,48545,-616,80535.1425,6
E10,E30,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,78.77,49491,-1133,57146.394,5
E11,E30,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,78.23,49056,3771,63431.544,6
E12,E30,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,78.09,48939,5985,66234.499,6
E10,E31,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,79.01,49734,5469,66144.5265,5
